City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
pacific grove,90,US,1575419114,82,36.62,-121.92,16.0,1.5
broome,1,GB,1575419342,86,52.47,1.45,6.0,3.1
diego de almagro,0,CL,1575419342,48,-26.39,-70.05,14.72,1.34
ostrovnoy,100,RU,1575419342,94,68.05,39.51,-7.48,4.17
farah,0,AF,1575419342,37,32.37,62.11,11.95,2.69
oksfjord,90,NO,1575419342,86,70.24,22.35,-1.0,8.7
salym,53,RU,1575419342,94,60.06,71.48,-12.85,3.06
dhidhdhoo,80,MV,1575419342,78,6.88,73.1,28.48,7.89
paamiut,100,GL,1575419244,75,61.99,-49.67,-6.58,3.06
bafq,33,IR,1575419342,69,31.6,55.4,11.0,1.59
chicama,75,PE,1575419342,82,-7.84,-79.15,20.0,3.1
puerto colombia,40,CO,1575419343,88,10.99,-74.96,28.0,3.6
takoradi,28,GH,1575419343,85,4.89,-1.75,27.02,3.96
saint-georges,100,CA,1575419344,1,46.12,-70.67,-4.44,1.79
russkaya polyana,1,RU,1575419344,93,53.78,73.88,-12.43,1.33
fare,33,PF,1575419344,68,-16.7,-151.02,28.63,3.56
millinocket,90,US,1575419344,74,45.66,-68.71,0.0,6.2
jalu,100,LY,1575419344,63,29.03,21.55,15.41,3.89
turbat,98,PK,1575419344,40,26.0,63.05,17.86,1.14
westport,1,US,1575419296,64,41.14,-73.36,2.0,3.6
mana,15,NG,1575419344,18,13.03,5.27,21.31,3.09
clyde river,90,CA,1575419344,76,70.47,-68.59,-20.0,2.1
havelock,1,US,1575419069,86,34.88,-76.9,9.0,2.1
pierre,1,US,1575419345,69,44.37,-100.35,4.0,5.7
huoqiu,0,CN,1575419345,61,32.34,116.27,4.53,2.02
beyneu,32,KZ,1575419345,93,45.32,55.19,-0.3,2.63
sharjah,0,AE,1575419345,73,25.36,55.39,21.0,2.1
kalmunai,100,LK,1575419345,80,7.42,81.82,27.77,8.85
fershampenuaz,100,RU,1575419346,90,53.52,59.82,-13.0,1.95
mecca,0,SA,1575419346,55,21.43,39.83,23.05,1.42
kuala terengganu,20,MY,1575419346,74,5.33,103.14,27.0,3.1
buin,0,CL,1575419347,27,-33.73,-70.74,25.56,2.1
orumiyeh,75,IR,1575419347,93,37.55,45.08,2.0,1.0
calvia,100,ES,1575419347,93,39.57,2.51,16.11,6.2
stepnogorsk,40,KZ,1575419407,96,52.35,71.88,-10.79,1.73
petatlan,75,MX,1575419407,74,17.52,-101.27,30.0,5.1
visby,100,SE,1575419407,93,57.64,18.3,6.0,4.6
cleethorpes,23,GB,1575419407,100,53.56,-0.03,4.44,3.6
ilulissat,75,GL,1575419407,72,69.22,-51.1,-11.0,11.3
izhma,100,RU,1575419407,91,65.01,53.91,-7.27,4.85
aizpute,100,LV,1575419407,100,56.72,21.61,6.0,8.7
kungurtug,4,RU,1575419407,77,50.6,97.53,-18.74,1.1
nioki,28,CD,1575419407,97,-2.72,17.69,21.58,0.98
jaisalmer,95,IN,1575419407,25,26.91,70.91,17.61,3.06
sambava,99,MG,1575419353,89,-14.27,50.17,22.22,1.45
sault sainte marie,90,CA,1575419407,86,46.49,-84.36,1.0,2.1
mayo,90,CA,1575419407,72,63.59,-135.9,-11.0,3.6
itambacuri,100,BR,1575419407,98,-18.04,-41.68,18.61,2.73
kijang,20,KR,1575419222,50,35.24,129.21,4.0,2.1
whitehorse,75,CA,1575419408,85,60.72,-135.06,-7.0,2.6
aripuana,24,BR,1575419251,72,-9.17,-60.63,25.95,0.74
dedza,27,MW,1575419408,85,-14.38,34.33,18.98,1.13
rybachiy,75,RU,1575419408,86,48.71,44.74,-2.0,8.0
rio grande,82,BR,1575419141,73,-32.03,-52.1,19.44,1.34
vila velha,20,BR,1575419408,74,-3.71,-38.6,28.0,4.1
yarada,20,IN,1575419408,83,17.65,83.27,23.0,4.1
keetmanshoop,28,NA,1575419408,39,-26.57,18.15,14.63,1.92
bull savanna,56,JM,1575419408,94,17.89,-77.59,21.34,0.24
felipe carrillo puerto,0,MX,1575419408,84,19.58,-88.05,21.09,1.5
keningau,75,MY,1575419408,88,5.33,116.16,26.0,3.1
tilichiki,100,RU,1575419408,98,60.47,166.1,-25.19,6.62
santa cruz,29,BR,1575419408,91,-6.22,-36.02,21.64,1.93
yelovo,100,RU,1575419408,92,57.05,54.92,-10.71,5.31
harper,1,US,1575419408,29,30.3,-99.24,18.0,3.38
hof,70,DE,1575419408,100,50.32,11.92,1.11,2.14
mbekenyera,48,TZ,1575419408,95,-10.0,38.98,21.04,0.4
zhanaozen,0,KZ,1575419408,87,43.35,52.85,1.07,4.41
haileybury,90,CA,1575419409,92,47.44,-79.64,-5.0,3.6
jacareacanga,54,BR,1575419409,56,-6.22,-57.76,27.25,0.77
asyut,17,EG,1575419409,71,27.18,31.19,13.0,9.3
tarko-sale,91,RU,1575419409,89,64.92,77.78,-12.78,0.89
nueva loja,94,EC,1575419409,78,0.08,-76.88,27.0,2.1
fayetteville,1,US,1575419409,87,36.06,-94.16,9.0,2.03
khandyga,96,RU,1575419409,96,62.65,135.58,-37.88,1.15
wattegama,74,LK,1575419409,97,7.35,80.68,22.07,0.84
malbang,75,PH,1575419409,83,5.86,125.05,27.0,1.0
jaumave,5,MX,1575419176,41,23.41,-99.38,26.0,0.98
matadi,100,CD,1575419409,95,-5.83,13.46,22.77,0.6
chickasha,1,US,1575419409,61,35.05,-97.94,12.78,2.6
goundam,40,ML,1575419470,14,16.42,-3.66,23.19,3.74
les cayes,0,HT,1575419470,71,18.19,-73.75,28.23,3.76
folldal,100,NO,1575419470,89,62.14,10.0,-1.24,3.18
usinsk,100,RU,1575419470,92,66.0,57.56,-13.32,6.06
conakry,0,GN,1575419470,76,9.52,-13.7,27.17,2.55
berdigestyakh,48,RU,1575419470,93,62.1,126.7,-35.79,3.82
yuksekova,75,TR,1575419470,93,37.57,44.29,2.0,1.0
north branch,40,US,1575419470,64,45.51,-92.98,1.11,4.1
polis,40,CY,1575419470,66,35.04,32.42,13.0,3.1
sur,56,OM,1575419470,64,22.57,59.53,21.17,2.28
flin flon,90,CA,1575419470,85,54.77,-101.88,-7.0,1.0
gat,64,SN,1575419470,60,14.69,-16.54,24.0,2.1
namuac,100,PH,1575419470,97,18.61,121.17,21.9,6.21
khorixas,85,NA,1575419470,21,-20.37,14.96,21.88,1.46
viseu,0,PT,1575419457,84,40.66,-7.91,4.44,3.13
krasnyy kut,98,RU,1575419470,74,47.1,40.67,-0.91,4.7
huambo,100,AO,1575419470,96,-12.78,15.73,16.0,1.52
kavaratti,78,IN,1575419470,75,10.57,72.64,28.73,7.37
umtata,100,ZA,1575419470,76,-31.59,28.78,11.0,3.1
springbok,0,ZA,1575419361,36,-29.67,17.88,12.66,10.95
itarema,0,BR,1575419429,81,-2.92,-39.92,25.44,3.35
tonshayevo,100,RU,1575419470,96,57.74,47.01,-5.82,3.06
gouyave,20,GD,1575419471,94,12.16,-61.73,26.0,4.6
loiza,1,PR,1575419292,94,18.43,-65.88,26.67,0.6
rodrigues alves,80,BR,1575419471,94,-7.74,-72.65,25.0,1.0
slovenska bistrica,31,SI,1575419471,92,46.39,15.57,-1.0,1.0
vysokovsk,90,RU,1575419471,86,56.32,36.55,-3.0,6.0
ogaminana,99,NG,1575419471,60,7.6,6.2,24.23,0.93
ilinskiy,75,RU,1575419471,79,55.62,38.12,-1.67,2.0
kenai,90,US,1575419471,85,60.55,-151.26,-3.33,1.5
beloha,0,MG,1575419471,58,-25.17,45.06,24.42,2.51
ivdel,100,RU,1575419471,84,60.7,60.42,-8.89,3.6
shimoda,20,JP,1575419471,66,34.7,138.93,13.0,2.6
rong kwang,20,TH,1575419471,100,18.34,100.32,15.0,1.05
santa engracia,64,ES,1575419471,70,41.94,-1.32,5.0,1.0
nelson bay,0,AU,1575419471,20,-32.72,152.14,28.89,6.7
north myrtle beach,1,US,1575419471,75,33.83,-78.68,8.0,1.54
shunyi,0,CN,1575419471,29,40.13,116.65,4.0,6.0
meulaboh,77,ID,1575419471,80,4.14,96.13,26.3,0.96
comodoro rivadavia,73,AR,1575419217,87,-45.87,-67.48,11.0,1.5
tateyama,75,JP,1575419471,81,36.66,137.31,8.33,2.6
yangambi,100,CD,1575419471,93,0.77,24.47,20.73,1.0
conceicao do araguaia,20,BR,1575419212,59,-8.26,-49.26,27.01,0.53
lonevag,75,NO,1575419472,100,60.53,5.49,8.33,5.1
nouadhibou,0,MR,1575419472,82,20.93,-17.03,18.0,6.2
camacupa,100,AO,1575419443,98,-12.02,17.48,17.89,3.04
rancho palos verdes,90,US,1575419532,52,33.75,-118.37,19.0,3.58
balaipungut,100,ID,1575419532,95,1.11,101.31,23.78,0.53
sarkand,1,KZ,1575419532,39,45.41,79.91,1.37,1.8
vahan,22,AZ,1575419532,68,40.58,45.4,-1.95,3.13
talnakh,83,RU,1575419248,61,69.49,88.39,-11.0,6.0
barcelos,100,BR,1575419532,89,-0.97,-62.93,24.65,0.67
malindi,52,KE,1575419532,95,-3.22,40.12,23.07,2.09
namanyere,100,TZ,1575419532,95,-7.51,31.05,16.78,1.26
swan hill,25,AU,1575419532,46,-35.34,143.56,18.29,6.05
huilong,100,CN,1575419532,60,31.15,106.5,8.23,0.38
fomboni,99,KM,1575419532,72,-12.28,43.74,28.53,2.13
